{Sat Jan 25 2025 12:00:13} [FREMST 🐞] error: 115.127.157.41 - GET /api/v1/admin/companies 401 - 5.161 ms
{Sat Jan 25 2025 12:02:14} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:02:17} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:02:27} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:02:35} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:02:39} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:02:42} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:04:58} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:05:11} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:05:23} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
{Sat Jan 25 2025 12:05:27} [FREMST 🐞] error: Failed to create Super Admin Email already exist!
